performance_score,attendance_percent,projects_completed,skills_score,experience_years,performance_label
2,81,0,10,1.9,1
10,90,1,6,2.0,2
1,55,10,5,8.0,1
6,66,1,3,9.4,1
5,83,11,2,3.1,1
4,55,2,7,3.4,1
3,96,5,4,2.2,1
4,96,4,1,4.6,1
1,93,10,7,7.2,1
5,73,14,5,1.6,2
9,81,2,10,2.3,2
4,71,1,10,1.2,1
5,87,10,4,6.2,1
1,95,2,7,3.9,1
2,87,1,7,7.8,1
3,50,2,6,2.0,0
7,64,1,9,9.3,1
3,84,6,3,1.0,1
3,63,3,9,5.4,1
4,70,11,2,9.5,1
7,70,7,3,7.0,1
9,69,6,5,4.8,2
5,73,12,1,9.9,1
9,100,5,4,1.2,2
9,89,6,3,9.9,2
4,80,3,5,2.5,1
10,77,5,1,1.9,1
6,99,10,7,5.8,2
8,68,8,10,9.4,2
9,98,7,1,6.9,2
8,84,8,3,3.7,2
7,65,0,3,8.8,1
1,52,11,5,8.5,1
3,62,1,5,1.3,0
6,54,0,9,1.9,1
10,54,0,10,4.0,2
1,92,8,8,8.0,1
3,53,8,4,1.4,1
2,87,3,5,5.4,1
5,92,6,8,3.6,1
6,71,12,6,5.7,2
6,59,13,8,6.2,2
8,97,11,2,0.9,2
4,72,6,6,3.0,1
2,60,2,1,6.6,0
10,63,11,2,1.0,2
2,66,15,8,3.0,1
9,100,14,1,2.0,2
1,61,11,5,3.7,1
8,51,11,7,1.8,2
6,81,12,4,3.0,2
4,89,9,2,3.4,1
4,64,0,5,1.0,0
2,83,3,2,7.0,0
3,90,6,6,0.5,1
7,85,7,5,1.2,1
5,54,7,9,4.2,1
4,50,1,10,3.0,1
8,52,7,2,8.2,1
1,70,15,1,9.6,1
8,51,13,5,2.0,2
3,55,10,3,7.9,1
7,65,1,5,4.2,1
2,93,13,2,1.7,1
2,81,8,9,8.5,1
10,91,12,1,9.9,2
4,89,4,7,2.7,1
8,95,11,9,8.4,2
3,65,12,6,4.4,1
5,96,0,3,6.0,1
8,64,2,7,0.5,1
7,75,7,6,1.6,1
10,68,15,4,5.0,2
9,60,13,9,0.8,2
