performance_score,attendance_percent,projects_completed,skills_score,experience_years,leadership_score,promoted
5,62,3,3,7.1,6,0
5,89,13,10,1.8,2,0
8,92,6,3,2.7,9,1
3,82,7,6,6.7,4,0
4,72,6,3,3.3,8,0
9,79,7,8,7.7,3,1
9,54,7,2,1.1,4,0
2,78,14,7,9.2,2,0
6,71,14,7,0.6,5,0
5,52,8,1,9.9,10,0
2,53,0,9,2.0,9,0
5,57,1,6,3.0,10,0
6,65,8,6,8.5,3,0
7,71,8,4,2.1,1,0
5,51,8,7,0.2,5,0
4,74,2,9,4.6,8,0
9,58,9,8,6.8,3,1
8,94,10,4,1.1,1,0
10,98,9,5,1.5,8,0
1,88,13,9,7.4,9,1
9,52,1,2,5.0,6,0
8,71,5,4,8.4,8,1
3,64,14,7,9.0,7,1
2,52,9,10,6.4,6,0
7,74,14,3,9.4,5,1
4,52,13,10,9.6,6,1
7,50,13,3,8.4,3,0
3,71,0,2,9.6,4,0
9,87,14,2,1.0,3,0
9,94,5,7,5.2,6,1
6,69,6,4,6.6,5,0
8,72,13,10,8.4,5,1
2,65,11,2,3.0,8,0
9,95,0,6,1.1,4,0
3,57,0,9,7.9,1,0
3,100,4,8,5.6,3,0
6,99,13,6,7.3,7,1
10,50,12,7,5.5,6,1
5,71,14,8,6.9,1,1
4,97,5,7,1.0,2,0
10,62,3,7,8.3,2,0
3,98,7,2,1.1,9,0
10,72,4,5,1.4,9,0
2,86,0,5,3.3,4,0
3,95,7,6,6.9,10,0
9,81,0,10,8.8,3,0
3,60,15,10,4.1,10,1
1,95,7,3,5.1,6,0
3,51,4,7,8.2,9,0
8,66,0,1,3.3,9,0
10,52,8,5,7.6,8,1
2,86,2,4,5.9,5,0
4,71,14,8,9.5,3,1
3,74,14,7,0.3,2,0
9,95,5,3,4.2,7,1
6,99,9,5,4.6,6,1
5,86,4,3,1.4,6,0
4,62,0,5,4.5,6,0
5,100,10,8,3.8,8,1
6,54,2,10,8.4,2,0
2,73,5,4,0.4,1,0
1,93,12,2,1.3,8,0
3,99,5,2,5.7,5,0
10,63,8,1,5.2,3,0
10,87,10,9,9.3,8,1
10,91,4,10,3.0,3,1
9,54,5,7,2.0,7,0
8,68,2,6,7.8,10,1
4,98,12,7,6.4,8,1
8,81,5,1,1.7,9,0
7,95,0,8,5.7,4,0
10,98,1,10,4.3,8,1
2,68,7,5,6.1,10,0
8,100,3,7,5.8,4,0
3,59,2,3,9.9,1,0
4,98,6,7,2.9,9,0
6,54,4,4,6.9,2,0
3,87,4,6,7.7,6,0
8,98,13,4,2.5,9,1
8,73,4,1,1.7,10,0
10,77,1,3,1.2,8,0
6,95,13,6,1.1,6,0
6,98,13,1,4.8,6,1
8,97,5,3,1.2,7,0
1,77,13,4,2.3,9,0
4,76,13,7,3.2,9,1
7,57,15,3,2.5,1,0
3,54,9,3,3.5,1,0
9,98,9,6,9.3,2,1
8,54,0,1,8.0,7,0
10,73,9,5,0.9,2,0
10,75,1,4,0.6,2,0
5,62,2,5,6.3,6,0
2,100,2,1,5.9,5,0
3,61,13,10,3.5,1,0
5,53,8,6,5.6,9,0
10,50,6,6,3.0,9,1
5,66,0,2,7.7,7,0
7,79,13,9,5.6,8,1
10,93,0,2,5.3,6,0
5,77,5,8,6.5,4,0
2,64,6,9,9.5,5,0
5,86,9,5,9.4,10,1
6,74,6,4,9.2,1,0
5,79,5,1,0.7,9,0
8,94,5,1,9.6,10,1
1,98,14,5,0.7,4,0
3,74,9,10,6.8,6,0
9,66,6,5,5.1,3,0
8,68,14,2,2.4,9,1
10,90,0,1,4.1,9,0
4,54,7,4,7.1,10,0
7,61,12,9,8.1,6,1
6,61,7,6,9.0,6,0
8,66,6,5,9.4,7,1
2,63,8,8,9.5,6,0
7,51,11,2,3.8,8,1
3,67,1,6,6.0,7,0
5,95,9,10,1.0,1,0
8,94,13,1,8.4,1,1
3,65,8,7,5.7,9,0
10,68,0,7,9.9,2,0
5,63,6,9,0.6,10,0
7,67,7,1,7.5,10,0
7,73,4,9,5.7,8,1
1,58,0,3,2.4,1,0
3,93,8,5,9.5,2,0
1,98,12,8,4.9,9,1
